Sl.No ,STATE,District,Recharge from Rainfall during Monsoon season(Ham)
1,ANDHRA PRADESH,Srikakulam,40417
2,ANDHRA PRADESH,Vizianagaram,42539
3,ANDHRA PRADESH,Visakhapatnam,73586
4,ANDHRA PRADESH,East Godavari,69958
5,ANDHRA PRADESH,West Godavari,58870
6,ANDHRA PRADESH,Krishna,47059
7,ANDHRA PRADESH,Guntur,37569
8,ANDHRA PRADESH,Prakasam,57624
9,ANDHRA PRADESH,Nellore,160189
10,ANDHRA PRADESH,Chittoor,134147
11,ANDHRA PRADESH,Kadapa,47303
12,ANDHRA PRADESH,Anantapur,70802
13,ANDHRA PRADESH,Kurnool,56720
14,ARUNACHAL PRADESH,Tirap,7208
15,ARUNACHAL PRADESH,Changlang,20761
16,ARUNACHAL PRADESH,Lohit,142890
19,ARUNACHAL PRADESH,Lower Dibang Valley,70406
20,ARUNACHAL PRADESH,East Siang,60304
21,ARUNACHAL PRADESH,West Siang,4936
23,ARUNACHAL PRADESH,East Kameng,13364
24,ARUNACHAL PRADESH,West Kameng,1406
25,ARUNACHAL PRADESH,Lower Subansiri,1761
26,ARUNACHAL PRADESH,Upper Subansiri,228
27,ARUNACHAL PRADESH,Papum Pare,10727
30,ASSAM,Baksa,98006
31,ASSAM,Barpeta,119188
32,ASSAM,Bongaigaon,63920
33,ASSAM,Cachar,56753
34,ASSAM,Chirang,90683
35,ASSAM,Darrang,55917
36,ASSAM,Dhemaji,157318
37,ASSAM,Dhubri,66278
38,ASSAM,Dibrugarh,110898
39,ASSAM,Dima Hasao,1755
40,ASSAM,Goalpara,66604
41,ASSAM,Golaghat,88166
42,ASSAM,Hailakandi,13767
43,ASSAM,Jorhat,88883
44,ASSAM,Kamrup,76973
45,ASSAM,Kamrup Metro,15162
46,ASSAM,Karbi Anglong,29714
47,ASSAM,Karimganj,24857
48,ASSAM,Kokrajhar,178911
49,ASSAM,Lakhimpur,73775
50,ASSAM,Morigaon,45227
51,ASSAM,Nagaon,96925
52,ASSAM,Nalbari,25263
53,ASSAM,Sibsagar,74853
54,ASSAM,Sonitpur,155887
55,ASSAM,Tinsukia,147082
56,ASSAM,Udalguri,33720
57,BIHAR,Araria,64316.63
58,BIHAR,Arwal,14215.29
59,BIHAR,Aurangabad,78885.74
60,BIHAR,Banka,40422.71
61,BIHAR,Begusarai,43472.21
62,BIHAR,Bhabhua,59631.43
63,BIHAR,Bhagalpur,65091.97
64,BIHAR,Bhojpur,54639.03
65,BIHAR,Buxar,36657.96
66,BIHAR,Darbhanga,48113.4
67,BIHAR,East Champaran,93746.32
68,BIHAR,Gaya,90922.45
69,BIHAR,Gopalganj,46651.86
70,BIHAR,Jamui,36024.2
71,BIHAR,Jehanabad,22421.3
72,BIHAR,Katihar,77743.57
73,BIHAR,Khagaria,37566.72
74,BIHAR,Kishanganj,59622.24
75,BIHAR,Lakhisarai,22615.6
76,BIHAR,Madhepura,42913.78
77,BIHAR,Madhubani,95287.05
78,BIHAR,Munger,26929.75
79,BIHAR,Muzaffarpur,62878.57
80,BIHAR,Nalanda,49047.47
81,BIHAR,Nawada,38503
82,BIHAR,Patna,71244.76
83,BIHAR,Purnia,96651.06
84,BIHAR,Rohtas,92009.77
85,BIHAR,Saharsa,45844.41
86,BIHAR,Samastipur,66497.87
87,BIHAR,Saran,61458.09
88,BIHAR,Sheihkpura,15196.72
89,BIHAR,Sheohar,13315.4
90,BIHAR,Sitamarhi,53660.09
91,BIHAR,Siwan,43367.75
92,BIHAR,Supaul,61106.69
93,BIHAR,Vaishali,47807.88
94,BIHAR,West Champaran,89283.97
95,CHCHATISGARH,Balod,18793.87
96,CHCHATISGARH,Baloda Bazar,37079.03
97,CHCHATISGARH,Balrampur,56280.91
98,CHCHATISGARH,Bastar,41478.34
99,CHCHATISGARH,Bemetara,21616.51
100,CHCHATISGARH,Bijapur,74599.28
101,CHCHATISGARH,Bilaspur,36923.93
102,CHCHATISGARH,Dantewara,19630.75
103,CHCHATISGARH,Dhamtari,32969.93
104,CHCHATISGARH,Durg,16858.12
105,CHCHATISGARH,Gariaband,25108.19
106,CHCHATISGARH,Janjgir-Champa,25033.8
107,CHCHATISGARH,Jashpur,41275.88
108,CHCHATISGARH,Kanker,77929.28
109,CHCHATISGARH,Kawardha,35202.43
110,CHCHATISGARH,Kondagaon,45186.57
111,CHCHATISGARH,Korba,41178.34
112,CHCHATISGARH,Koriya,46655.01
113,CHCHATISGARH,Mahasamund,54007.26
114,CHCHATISGARH,Mungeli,17975.07
115,CHCHATISGARH,Narayanpur,22960.73
116,CHCHATISGARH,Raigarh,32330.1
117,CHCHATISGARH,Raipur,23706.25
118,CHCHATISGARH,Rajnandgaon,37890.69
119,CHCHATISGARH,Sukma,33001.6
120,CHCHATISGARH,Surajpur,53933.61
121,CHCHATISGARH,Surguja,41173.81
122,DELHI,Darya Ganj,196.25
123,DELHI,Karol Bagh,29.34
124,DELHI,Pahar Ganj,63.43
125,DELHI,Gandhi Nagar,90.34
126,DELHI,Preet Vihar,119.9
127,DELHI,Vivek Vihar,98.32
128,DELHI,Chanakay Puri,88.35
129,DELHI,Connaught Place,92.48
130,DELHI,Parliament Street,61.66
131,DELHI,Civil Lines,541.02
132,DELHI,Kotwali,32.42
133,DELHI,Sadar Bazar,30.1
134,DELHI,Seelam Pur,210.21
135,DELHI,Seema Puri,110.1
136,DELHI,Shahdra,30.46
137,DELHI,Model Town,436.63
138,DELHI,Narela,1438.93
139,DELHI,Saraswati Vihar,231.62
140,DELHI,Defence Colony,280.48
141,DELHI,Hauz Khas,1082.98
142,DELHI,Kalkaji,676.18
143,DELHI,Delhi Cantonment,522.19
144,DELHI,Najafgarh,1116.79
145,DELHI,Vasant Vihar,784.75
146,DELHI,Patel Nagar,219.73
147,DELHI,Panjabi Bagh,78.64
148,DELHI,Rajouri Garden,97.25
149,GOA,North Goa,9395
150,GOA,South Goa,5451
151,GIJARAT,Ahmedabad,39327.77
152,GIJARAT,Amreli,76488.8
153,GIJARAT,Anand,31958.88
154,GIJARAT,Banaskantha,88500.43
155,GIJARAT,Bharuch,34201.93
156,GIJARAT,Bhavnagar,81802.34
157,GIJARAT,Dang,4624.21
158,GIJARAT,Dohad,22451.18
159,GIJARAT,Gandhinagar,35503.58
160,GIJARAT,Jamnagar,80505.45
161,GIJARAT,Junagadh,115401.36
162,GIJARAT,Kachchh,59875.02
163,GIJARAT,Kheda,44245.2
164,GIJARAT,Mahesana,76463.4
165,GIJARAT,Narmada,18167.03
166,GIJARAT,Navsari,19739.97
167,GIJARAT,Panchmahals,34908.1
168,GIJARAT,Patan,13641.37
169,GIJARAT,Porbandar,17295.56
170,GIJARAT,Rajkot,116081.86
171,GIJARAT,Sabarkantha,103933.01
172,GIJARAT,Surat,63262.07
173,GIJARAT,Surendranagar,68273.94
174,GIJARAT,Tapi,24597.97
175,GIJARAT,Vadodara,93739.69
176,GIJARAT,Valsad,27838
177,HARYANA,Ambala,30434
178,HARYANA,Panchkula,8342
179,HARYANA,Fatehabad,14233
180,HARYANA,Bhiwani,26116
181,HARYANA,Hissar,23133
182,HARYANA,Gurgaon,12579
183,HARYANA,Mewat,11921
184,HARYANA,Faridabad,6928
185,HARYANA,Palwal,11890
186,HARYANA,Jhajjar,14177
187,HARYANA,Jind,18309
188,HARYANA,Kaithal,16114
189,HARYANA,Karnal,24827
190,HARYANA,Kurukshetra,21794
191,HARYANA,Mahendragarh,16907
192,HARYANA,Panipat,13748
193,HARYANA,Rewari,14503
194,HARYANA,Rohtak,13014
195,HARYANA,Sirsa,13557
196,HARYANA,Sonepat,22527
197,HIMACHAL PRADESH,Yamunanagar,26469
198,HIMACHAL PRADESH,Indaura,7584.35
199,HIMACHAL PRADESH,Nurpur,9929.58
200,HIMACHAL PRADESH,Balh,1849.5
201,HIMACHAL PRADESH,Paonta,5464.68
202,HIMACHAL PRADESH,Kala Amb,58.28
203,HIMACHAL PRADESH,Nalagarh,6296.76
204,HIMACHAL PRADESH,Una,8107.62
205,JAMMU & KASHMIR,Hum,417.55
206,JAMMU & KASHMIR,Jammu,28532.97
207,JAMMU & KASHMIR,Samba,7746.98
208,JAMMU & KASHMIR,Kathua,15978.08
209,JAMMU & KASHMIR,Srinagar,2150.11
210,JAMMU & KASHMIR,Ganderbal,1899.28
211,JAMMU & KASHMIR,Anantnag,5642.06
212,JAMMU & KASHMIR,Kulgam,2063.79
213,JAMMU & KASHMIR,Baramulla,21573.57
214,JAMMU & KASHMIR,Bandipora,2049.31
215,JAMMU & KASHMIR,Badgam,5640.595
216,JAMMU & KASHMIR,Pulwama,5118.32
217,JAMMU & KASHMIR,Shopian,1470.46
218,JAMMU & KASHMIR,Kupwara,7730.4
219,JAMMU & KASHMIR,Udhampur,3775.78
220,JAMMU & KASHMIR,Reasi,1211.862
221,JAMMU & KASHMIR,Ramban,216.72
222,JAMMU & KASHMIR,Rajouri,4549.29
223,JAMMU & KASHMIR,Kishtwar,443.83
224,JAMMU & KASHMIR,Poonch,2994.72
225,JAMMU & KASHMIR,Doda,162.73
